Time (h),Obs 1,Obs 2
0,122580.6452,172350.2304
21,137327.1889,142857.1429
45,227649.7696,241474.6544
69,511285.1221,494702.9019
141,3060829.493,3265437.788
165,3056221.198,3219354.839
189,3345622.12,3486635.945
213,3238709.677,3444239.631
237,3030414.747,3176958.525
309,3274654.378,3300460.829
332,2606451.613,2694930.876
