Time (h),Obs 1,Obs 2
0,9.59E+04,8.20E+04
21,8.85E+04,1.28E+05
45,1.14E+05,1.25E+05
69,2.42E+05,2.60E+05
141,1.94E+06,2.05E+06
165,2.89E+06,2.87E+06
189,3.54E+06,3.54E+06
213,3.30E+06,3.23E+06
237,3.07E+06,3.40E+06
309,3.48E+06,3.45E+06
332,3.14E+06,3.33E+06
