Time (h),Obsv 1,Obsv 2,Obsv 3,Obsv 4
0,80845.19982,76711.07028,90032.15434,90032.15434
24,61552.59531,67983.46348,70739.54984,60633.89986
48,80845.19982,79926.50436,64768.0294,67983.46348
72,150206.7065,157096.9224,135966.927,127239.3202
96,286173.6334,272852.5494,274689.9403,272393.2017
120,504823.1511,479099.6785,452916.8581,447404.6853
168,1745638.2,1887052.342,1865932.048,1775941.23
192,3269972.452,3153351.699,3268135.904,3289256.198
216,3586776.86,3574839.302,3678604.224,3305785.124
240,2951331.497,2895316.804,2673094.582,2696969.697
264,3370064.279,3349862.259,3348025.712,2998163.453
288,4157943.067,4498622.59,4475665.748,4622589.532
312,3939393.939,4259871.442,4476584.022,4259871.442
336,3729109.275,3489439.853,3589531.68,3523415.978
