Time (h),Obsv 1,Obsv 2,Obsv 3,Obsv 4
0,76711.07028,74414.33165,73495.6362,87276.06798
24,99219.10887,98300.41341,104731.2816,84060.6339
48,158934.3133,148828.6633,144235.186,152503.4451
72,371152.9628,389526.8718,354157.0969,353697.7492
96,738171.796,805695.9118,708314.1938,701883.3257
120,1484152.503,1487367.938,1409738.172,1350941.663
144,2475424.897,2192926.045,2444189.251,2251722.554
168,3430670.34,3256198.347,3245179.063,3024793.388
192,3494031.221,3545454.545,3452708.907,3393939.394
216,3325987.144,3259871.442,3414141.414,3429752.066
240,3113865.932,2900826.446,2782369.146,2714416.896
264,3321395.776,3283746.556,3175390.266,3072543.618
288,4239669.421,4313131.313,4574839.302,4455463.728
312,4218549.128,3988980.716,3820936.639,3890725.436
336,3713498.623,3371900.826,3358126.722,3469237.833
