Time (h),Obsv 1,Obsv 2,Obsv 3,Obsv 4
0,64308.68167,72576.94074,82223.24299,77629.76573
24,39963.25218,48231.51125,38125.86128,45475.4249
48,28479.55903,19292.6045,26642.16812,30316.94993
72,29857.6022,34451.07947,34451.07947,22048.69086
96,42719.33854,50987.59761,46853.46808,39503.90446
120,53284.33624,52365.64079,44097.38172,42719.33854
144,89572.80661,93247.58842,85898.0248,85898.0248
168,176308.5399,159779.6143,152433.4252,147842.0569
192,418732.7824,351698.8062,404040.404,370982.5528
216,673094.5822,641873.2782,645546.3728,575757.5758
240,1162534.435,1173553.719,1109274.564,1010101.01
264,2573921.028,2525252.525,2532598.714,2197428.834
288,2768595.041,2981634.527,3088154.27,2816345.271
312,3242424.242,3155188.246,3411386.593,3137741.047
336,4056014.692,2733700.643,2574839.302,2821854.913
