Time (h),Obsv 1,Obsv 2,Obsv 3,Obsv 4
0,92328.89297,108406.0634,110702.802,101975.1952
24,146991.2724,149747.3588,143775.8383,138723.0133
48,295819.9357,288470.3721,292145.1539,285714.2857
72,669269.6371,666054.203,688102.8939,814423.5186
96,1273311.897,1398713.826,1215893.431,1172255.397
120,2531005.972,2443729.904,2529168.581,2271474.506
144,3030303.03,2910927.456,3189164.371,3047750.23
168,2977043.159,3066115.702,2956841.139,2781450.872
192,3560146.924,3495867.769,3737373.737,3592286.501
216,3880624.426,3924701.561,3774104.683,3534435.262
240,3545454.545,3460973.37,3462809.917,3257116.621
264,3603305.785,3502295.684,3276400.367,3027548.209
288,4100091.827,4239669.421,4428833.792,4461891.644
312,4268135.904,4266299.357,3841138.659,4132231.405
336,3474747.475,3674931.129,3346189.164,3465564.738
