Time (h),Obsv 1,Obsv 2,Obsv 3,Obsv 4
0,1.28E+05,9.97E+04,9.97E+04,9.83E+04
24,1.76E+05,1.96E+05,189251.2632,173174.0928
48,3.40E+05,3.69E+05,384014.6991,327974.2765
72,8.10E+05,8.52E+05,775378.9619,731740.9279
96,1.49E+06,1.48E+06,1439136.426,1262746.899
120,2.28E+06,2.30E+06,2246669.729,2032613.689
144,2.47E+06,2.44E+06,2289256.198,2194674.013
168,2.56E+06,2.47E+06,2390266.299,2325987.144
192,3.76E+06,3.63E+06,3390266.299,3628099.174
216,3.64E+06,3.91E+06,3719008.264,3546372.819
240,4.13E+06,4.44E+06,4205693.297,4050505.051
264,4.38E+06,4.16E+06,4081726.354,3989898.99
288,3.61E+06,3.63E+06,3497704.316,3563820.018
312,3.66E+06,3.64E+06,3609733.701,3517906.336
336,3487603.306,3520661.157,3320477.502,3320477.502
