Time (h),Obsv 1,Obsv 2,Obsv 3,Obsv 4
0,84060.6339,95084.97933,99678.45659,89572.80661
24,123564.5384,125861.277,135507.5792,129076.7111
48,210381.2586,250803.8585,239320.1654,266421.6812
72,411575.5627,468534.6808,540652.2738,486908.5898
96,919614.1479,928341.7547,976113.9182,1064768.029
120,2084519.982,2139182.361,2170877.354,2206247.129
144,2641873.278,2678604.224,2597796.143,2620752.984
168,3062442.608,3196510.56,3160697.888,3200183.655
192,3288337.925,3317722.681,3253443.526,3304866.85
216,3671258.035,3617079.89,3691460.055,3695133.15
240,3047750.23,3343434.343,3319559.229,3246097.337
264,3337006.428,3337924.702,3375573.921,3402203.857
288,4401285.583,4232323.232,4502295.684,3862258.953
312,3591368.228,3772268.136,4032139.578,4269054.178
336,3396694.215,3652892.562,4050505.051,3878787.879
