Time (h),Obsv 1,Obsv 2,Obsv 3,Obsv 4
0,90032.15434,89113.45889,84979.32935,86357.37253
24,55121.72715,56040.4226,56040.4226,56499.77033
48,39963.25218,43638.03399,41341.29536,38585.209
72,75792.37483,64768.0294,76251.72255,73036.28847
96,126320.6247,108406.0634,118971.0611,110243.4543
120,192007.3496,192007.3496,197060.1746,215893.4313
144,323840.147,327974.2765,355075.7924,367937.5287
168,692378.3287,802571.1662,808999.0817,802571.1662
192,1654729.109,1598714.417,1668503.214,1784205.693
216,2754820.937,2901744.72,3260789.715,2998163.453
240,3130394.858,3285583.104,3571166.208,3617079.89
264,3471074.38,3627180.9,3993572.084,3959595.96
288,4163452.709,3778696.051,3704315.886,3324150.597
312,4288337.925,4541781.451,4351698.806,5016528.926
336,3553719.008,3563820.018,3997245.179,4113865.932
