Time (h),Obsv 1,Obsv 2,Obsv 3,Obsv 4
0,89572.80661,112080.8452,84060.6339,88194.76344
24,106568.6725,124942.5815,119430.4088,130454.7542
48,169958.6587,195222.7836,180064.3087,187873.22
72,310519.0629,294441.8925,351860.3583,324758.8424
96,635737.2531,677537.8962,579696.8305,688102.8939
120,1398713.826,1397795.131,1447864.033,1232889.297
144,2498851.631,2548001.837,2474046.853,2539274.231
168,3266299.357,3496786.042,3346189.164,3565656.566
192,2496786.042,2809917.355,2685032.14,2957759.412
216,2927456.382,3067033.976,3204775.023,3594123.049
240,3295684.114,3489439.853,3617998.163,3573921.028
264,3849403.122,3982552.801,4434343.434,4434343.434
288,2909090.909,3093663.912,2987144.169,3121212.121
312,3001836.547,3275482.094,3163452.709,3443526.171
336,2654729.109,2775941.23,3055096.419,2815426.997
