Time (h),Obsv 1,Obsv 2,Obsv 3,Obsv 4
0,103812.5861,105649.977,76711.07028,110702.802
24,61552.59531,67064.76803,68442.81121,60174.55214
48,79467.15664,71658.24529,68442.81121,84519.98163
72,115296.2793,109324.7588,140560.4042,138723.0133
96,182361.0473,195682.1314,206706.4768,238860.8176
120,384933.3946,412494.2582,367937.5287,411116.215
144,494717.5011,591639.8714,598070.7395,627928.3418
168,1307222.988,1406022.437,1388309.388,1424325.92
192,2402203.857,2410468.32,2435261.708,2453627.181
216,3028466.483,3054178.145,3342516.07,3224977.043
240,3112029.385,2992653.811,3072543.618,2820018.365
264,3485766.758,3732782.369,3697887.971,3972451.791
288,2643709.826,2730945.822,2768595.041,3262626.263
312,2325068.871,2365472.911,2368227.732,2523415.978
336,3611570.248,3794306.703,4259871.442,4004591.368
