Time (h),Obsv 1,Obsv 2,Obsv 3,Obsv 4
0,89572.80661,98300.41341,104271.9339,96463.02251
24,119430.4088,110243.4543,125861.277,106109.3248
48,180523.6564,216812.1268,222783.6472,180523.6564
72,351401.0106,349563.6197,324299.4947,344051.4469
96,656407.9008,748277.446,659163.9871,629306.3849
120,1395039.045,1375746.44,1459807.074,1489664.676
144,2418006.431,2462103.813,2180523.656,2109784.107
168,3275482.094,3348943.985,3001836.547,3083562.902
192,3082644.628,3078053.26,2945821.855,3011937.557
216,3157024.793,3099173.554,3194674.013,3018365.473
240,3212121.212,3194674.013,3145087.236,2737373.737
264,4566574.839,4136822.773,4254361.8,3930211.203
288,3224058.77,3352617.08,3203856.749,3197428.834
312,3461891.644,3327823.691,3249770.432,3220385.675
336,3005509.642,3152433.425,3032139.578,3223140.496
