Time (h),Obsv 1,Obsv 2,Obsv 3,Obsv 4
0,9.00E+04,9.28E+04,9.69E+04,8.13E+04
24,1.64E+05,1.57E+05,174092.7882,161690.3996
48,3.03E+05,2.89E+05,262746.8994,323380.7993
72,6.13E+05,6.19E+05,625631.6031,630684.4281
96,1.24E+06,1.17E+06,1223702.343,1291226.458
120,2.54E+06,2.70E+06,2479559.026,2736793.753
144,3.49E+06,3.32E+06,3322002.756,3229214.515
168,3.03E+06,3.09E+06,3105601.469,3105601.469
192,3.14E+06,3.01E+06,3111111.111,3099173.554
216,3.55E+06,3.64E+06,3909090.909,3860422.406
240,3.31E+06,3.19E+06,3222222.222,3319559.229
264,3.54E+06,3.51E+06,3311294.766,3543617.998
288,3.19E+06,2.86E+06,3181818.182,2996326.905
312,3.21E+06,3.16E+06,3161616.162,2836547.291
336,3041322.314,2973370.064,2799816.345,2885215.794
