Time (h),Obsv 1,Obsv 2,Obsv 3,Obsv 4
0,110702.802,88194.76344,116214.9747,97841.06569
24,119430.4088,114377.5838,127698.6679,122645.8429
48,184198.4382,186954.5246,241616.904,227377.1245
72,350482.3151,387230.1332,362425.356,345888.8379
96,749196.1415,724391.3643,723013.3211,644464.8599
120,1491961.415,1524115.756,1536977.492,1639412.035
144,2740468.535,2932935.232,3138723.013,2377583.831
168,3342516.07,3234159.78,3099173.554,3121212.121
192,2690541.781,2754820.937,2653810.836,2414141.414
216,3275482.094,3270890.725,3272727.273,2927456.382
240,3557392.103,3615243.343,3495867.769,3511478.421
264,4022956.841,3913682.277,3880624.426,3440771.35
288,3109274.564,2943067.034,3002754.821,2915518.825
312,3537190.083,3461891.644,3460055.096,3490358.127
336,3259871.442,3122130.395,3354453.627,2957759.412
