Time (h),Obsv 1,Obsv 2,Obsv 3,Obsv 4
0,109784.1066,83141.93845,90950.84979,85438.67708
24,144694.5338,103353.2384,112080.8452,103353.2384
48,146531.9247,156637.5746,155259.5315,126320.6247
72,280661.4607,265962.3335,299494.7175,282498.8516
96,478180.983,503904.4557,570050.5282,594855.3055
120,1032613.689,1122186.495,1103353.238,961874.1387
144,1982544.786,2171336.702,2193844.74,2350022.967
168,2615243.343,2821854.913,3372819.1,3355371.901
192,2813590.45,3066115.702,2894398.531,3199265.381
216,3134986.226,3225895.317,3276400.367,3434343.434
240,3344352.617,3707988.981,3606060.606,3721763.085
264,4065197.429,4035812.672,4009182.736,4359963.269
288,3064279.155,3288337.925,3238751.148,3626262.626
312,3212121.212,3408631.772,3365472.911,4231404.959
336,3095500.459,3571166.208,3657483.93,3881542.7
