Time (h),Obsv 1,Obsv 2,Obsv 3,Obsv 4
0,92788.2407,89572.80661,89572.80661,83141.93845
24,76711.07028,96922.37023,78548.46119,82223.24299
48,110702.802,111621.4975,112080.8452,119889.7565
72,189710.6109,213596.6927,187873.22,164905.8337
96,312815.8016,324758.8424,328892.972,321543.4084
120,654111.1621,749196.1415,731281.5802,740468.5347
144,1344970.142,1369774.92,1385852.09,1348185.576
168,2429752.066,2442607.897,2387511.478,2657483.93
192,3106519.743,3253443.526,3007346.189,2781450.872
216,2935720.845,3049586.777,3087235.996,3000918.274
240,3442607.897,3412304.867,3567493.113,3375573.921
264,4496786.042,3765840.22,3824609.734,3514233.242
288,2951331.497,2948576.676,2775941.23,2805325.987
312,3213039.486,3022956.841,2972451.791,2996326.905
336,3661157.025,3815426.997,3662993.572,3815426.997
