Time (h),Obsv 1,Obsv 2,Obsv 3,Obsv 4
0,96922.37023,110243.4543,95084.97933,100750.268
24,57877.8135,55581.07487,51906.29306,64308.68167
48,43178.68627,41800.64309,45016.07717,38125.86128
72,57418.46578,58337.16123,45016.07717,50987.59761
96,75792.37483,79467.15664,76711.07028,87276.06798
120,135048.2315,147450.6201,172255.3973,152044.0974
144,284336.2425,287092.3289,279742.7653,312356.4538
168,439086.7939,430427.0813,410745.9162,417634.324
192,1231404.959,1203856.749,1163452.709,1097337.006
216,1979797.98,1952249.77,2006427.916,1898071.625
240,2263544.536,2078053.26,2224977.043,1858585.859
264,3905417.815,2692378.329,2657483.93,2550964.187
288,3733700.643,3568411.387,3621671.258,3616161.616
312,2229568.411,2280073.462,2311294.766,2104683.196
336,3718089.991,3520661.157,3689623.508,3629935.721
